epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7102272510528564,0.0010000000474974513,0.8756235837936401,0.767471432685852,0.6303339600563049,0.536255419254303,1.256499171257019,0.5961405634880066,0.46807360649108887
1,0.7673933506011963,0.0010000000474974513,0.6737328171730042,0.8086708188056946,0.7224025726318359,0.6071428656578064,1.10216224193573,0.6533586978912354,0.5579004287719727
2,0.7923237681388855,0.0010000000474974513,0.6046994924545288,0.8281764984130859,0.7573052048683167,0.6450216174125671,0.9427060484886169,0.684531033039093,0.6082251071929932
3,0.7904684543609619,0.0010000000474974513,0.5855618715286255,0.824397623538971,0.757768988609314,0.6347402334213257,0.9330027103424072,0.6740366220474243,0.5773809552192688
4,0.8046150207519531,0.0010000000474974513,0.540643036365509,0.8376452922821045,0.777133584022522,0.6839826703071594,0.7955911755561829,0.7171533107757568,0.6379870176315308
5,0.8125,0.0010000000474974513,0.5205085277557373,0.8402388691902161,0.7830473184585571,0.7067099809646606,0.7373011112213135,0.741410493850708,0.6655844449996948
6,0.8259508609771729,0.0010000000474974513,0.49884146451950073,0.8480157256126404,0.8003246784210205,0.6888527870178223,0.790068507194519,0.729191780090332,0.6542207598686218
7,0.8184137344360352,0.0010000000474974513,0.4935343563556671,0.8434997200965881,0.793715238571167,0.6812770366668701,0.8034738898277283,0.7213414907455444,0.6401515007019043
8,0.8083255887031555,0.0005000000237487257,0.5169664621353149,0.8355295658111572,0.7793367505073547,0.6985930800437927,0.733073353767395,0.7362440228462219,0.6661255359649658
9,0.8148190975189209,0.0005000000237487257,0.5094164609909058,0.840630054473877,0.7859461903572083,0.6931818127632141,0.7891011834144592,0.7248960137367249,0.6601731777191162
10,0.8130797743797302,0.0005000000237487257,0.4960171580314636,0.8430643081665039,0.7886132001876831,0.7007575631141663,0.7520744204521179,0.733972430229187,0.6628788113594055
11,0.7984693646430969,0.0002500000118743628,0.5441773533821106,0.8321545720100403,0.7640306353569031,0.7083333134651184,0.7447953820228577,0.7455089688301086,0.673701286315918
